ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2020-0078,1,2020-12-25,05:50:00,2020,12,25,5,VIERNES,NOCHE,BARCO CENTENERA DEL 1118,CALLE,7,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,-58.43706741,-34.63217813
2020-0079,1,2020-12-27,04:15:00,2020,12,27,4,DOMINGO,NOCHE,"PAZ, GRAL. AV. Y ACCESO NORTE - PANAMERICANA",AUTOPISTA,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.49332664,-34.54836855
2021-0001,1,2021-01-06,18:00:00,2021,1,6,18,MIERCOLES,NOCHE,AU FRONDIZI KM. 3,AUTOPISTA,1,MOTO-AUTO,MOTO,AUTO,-58.37960727,-34.62622851
2021-0002,1,2021-01-07,10:20:00,2021,1,7,10,JUEVES,DIA,"CASTRO, EMILIO AV. Y MURGUIONDO",AVENIDA,9,MOTO-CARGAS,MOTO,CARGAS,-58.51061062,-34.64972472
2021-0003,1,2021-01-10,07:40:00,2021,1,10,7,DOMINGO,DIA,"AU 25 DE MAYO KM. 3,7",AUTOPISTA,7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.43052224,-34.62941648
2021-0004,1,2021-01-11,09:12:18,2021,1,11,9,LUNES,DIA,CASEROS AV. Y GUARANI,AVENIDA,5,PEATON-CARGAS,PEATON,CARGAS,-58.41455544,-34.63866836
2021-0005,1,2021-01-11,21:30:00,2021,1,11,21,LUNES,NOCHE,"PERON, EVA AV. 3800",AVENIDA,9,PEATON-AUTO,PEATON,AUTO,-58.46774439,-34.64730145
2021-0006,1,2021-01-12,21:00:00,2021,1,12,21,MARTES,NOCHE,AU ILLIA y SARMIENTO AV.,AUTOPISTA,14,MOTO-CARGAS,MOTO,CARGAS,-58.40786274,-34.56726817
2021-0007,1,2021-01-18,10:00:00,2021,1,18,10,LUNES,DIA,DE LOS CONSTITUYENTES AV. Y GIRIBONE,AVENIDA,15,MOTO-MOTO,MOTO,MOTO,-58.48744301,-34.58622275
2021-0008,1,2021-01-22,23:30:00,2021,1,22,23,VIERNES,NOCHE,"SAENZ AV. Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.41657793,-34.65476216
2021-0009,1,2021-01-23,05:30:00,2021,1,23,5,SABADO,NOCHE,PAYSANDU Y GAONA,AVENIDA,6,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.45351111,-34.61134937
2021-0010,1,2021-01-23,08:00:00,2021,1,23,8,SABADO,DIA,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",AUTOPISTA,12,MOTO-AUTO,MOTO,AUTO,-58.5007381,-34.5497951
2021-0011,1,2021-01-27,01:04:26,2021,1,27,1,MIERCOLES,NOCHE,SANTA FE AV. 1675,AVENIDA,2,PEATON-AUTO,PEATON,AUTO,-58.39144148,-34.59564871
2021-0012,1,2021-01-29,20:07:22,2021,1,29,20,VIERNES,NOCHE,AU DELLEPIANE Y GUAMINI,AUTOPISTA,8,PEATON-AUTO,PEATON,AUTO,-58.48191128,-34.68385968
2021-0013,1,2021-01-31,06:10:00,2021,1,31,6,DOMINGO,DIA,"FALCON, RAMON L., CNEL. Y OLIVERA AV.",AVENIDA,10,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.48727942,-34.63652467
2021-0014,1,2021-02-02,00:50:00,2021,2,2,0,MARTES,NOCHE,SAN MARTIN AV. Y NOGOYA,AVENIDA,15,PEATON-AUTO,PEATON,AUTO,-58.48328708,-34.59779521
2021-0015,1,2021-02-06,03:05:00,2021,2,6,3,SABADO,NOCHE,SAN MARTIN AV. Y TINOGASTA,AVENIDA,15,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.49018543,-34.5972499
