,ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
243,2017-0112,2,2017-09-10,09:32:17,2017,9,10,9,DOMINGO,DIA,AU 25 DE MAYO Y AV. VARELA,AUTOPISTA,7,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.45807401,-34.6399743,PASAJERO_ACOMPAÑANTE,MASCULINO,,2017-09-13
244,2017-0113,1,2017-09-11,06:30:00,2017,9,11,6,LUNES,DIA,AV. SANTA FE Y MAIPU,AVENIDA,1,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.37697717,-34.59573848,PEATON,FEMENINO,76,2017-09-11
245,2017-0114,1,2017-09-15,02:30:00,2017,9,15,2,VIERNES,NOCHE,AV. ALVEAR Y AV. DEL LIBERTADOR,AVENIDA,2,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.3910058,-34.5849866,CONDUCTOR,MASCULINO,26,2017-09-15
246,2017-0115,1,2017-09-19,18:52:33,2017,9,19,18,MARTES,NOCHE,AV. PAVON Y TREINTA Y TRES ORIENTALES,AVENIDA,5,MOTO-BICICLETA,MOTO,BICICLETA,-58.42182126,-34.63089661,CONDUCTOR,MASCULINO,34,
247,2017-0116,1,2017-09-20,22:24:00,2017,9,20,22,MIERCOLES,NOCHE,COLECTORA AV. GRAL. PAZ 5750,AUTOPISTA,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.51389422,-34.58075791,CONDUCTOR,MASCULINO,22,2017-09-20
248,2017-0118,1,2017-09-22,07:02:09,2017,9,22,7,VIERNES,DIA,VIEYTES Y CRUZ,AVENIDA,4,MOTO-AUTO,MOTO,AUTO,-58.37585415,-34.65232158,PASAJERO_ACOMPAÑANTE,FEMENINO,26,2017-09-29
249,2017-0120,1,2017-10-02,15:55:33,2017,10,2,15,LUNES,DIA,AU DELLEPIANE Y AV. ESCALADA,AUTOPISTA,9,MOTO-CARGAS,MOTO,CARGAS,-58.47297505,-34.66245085,CONDUCTOR,MASCULINO,20,2017-10-02
250,2017-0123,1,2017-10-10,01:05:38,2017,10,10,1,MARTES,NOCHE,ALBARIÑO Y AV. ARGENTINA,AVENIDA,8,PEATON-AUTO,PEATON,AUTO,-58.46855503,-34.67216349,PEATON,FEMENINO,36,2017-10-10
251,2017-0124,1,2017-10-12,14:40:28,2017,10,12,14,JUEVES,DIA,JUAN RAMIREZ DE VELAZCO 1211,CALLE,15,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.44254033,-34.59185043,CONDUCTOR,MASCULINO,51,2017-10-12
252,2017-0125,1,2017-10-13,06:12:20,2017,10,13,6,VIERNES,DIA,AV. FERNANDEZ DE LA CRUZ Y LARRAYA,AVENIDA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.46622247,-34.67926929,CONDUCTOR,MASCULINO,29,2017-10-13
253,2017-0126,2,2017-10-14,06:15:00,2017,10,14,6,SABADO,DIA,AV. RIESTRA Y CAÑADA DE GOMEZ,AVENIDA,8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.48003734,-34.68148508,PASAJERO_ACOMPAÑANTE,MASCULINO,39,
254,2017-0126,2,2017-10-14,06:15:00,2017,10,14,6,SABADO,DIA,AV. RIESTRA Y CAÑADA DE GOMEZ,AVENIDA,8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.48003734,-34.68148508,CONDUCTOR,MASCULINO,36,2017-10-14
255,2017-0127,1,2017-10-16,07:45:00,2017,10,16,7,LUNES,DIA,GALLO Y AV. CORDOBA,AVENIDA,2,MOTO-MOTO,MOTO,MOTO,-58.41192137,-34.59800248,PASAJERO_ACOMPAÑANTE,MASCULINO,24,2017-10-16
256,2017-0128,1,2017-10-17,12:30:00,2017,10,17,12,MARTES,DIA,DR. JUAN F. ARANGUREN 611,CALLE,6,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.44034689,-34.61349731,PEATON,FEMENINO,60,2017-10-17
257,2017-0129,1,2017-10-26,19:15:15,2017,10,26,19,JUEVES,NOCHE,AU PERITO MORENO Y AU 25 DE MAYO,AUTOPISTA,9,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.47155277,-34.64925746,CONDUCTOR,MASCULINO,57,2017-10-26
258,2017-0130,1,2017-10-27,05:30:00,2017,10,27,5,VIERNES,NOCHE,CHORROARIN Y AV. SAN MARTIN,AVENIDA,15,AUTO-CARGAS,AUTO,CARGAS,-58.47883099,-34.59967065,CONDUCTOR,MASCULINO,23,2017-10-27
